3д модель;Печать (3 недели);Детали напечатаны;
Внешний вид;Разработка конструкции(неделя);Конструкция приводов;
Внешний вид;Выбор и посчет датчиков(2 дня);Перечень датчиков;
Внешний вид;Выбор и подсчет приводов(3 дня);Перечень приводов;
Внешний вид;Выбор и подсчет плат, планирование проводки(2 дня);Схема плат и проводки;
Доработан внешний вид;Корректировка 3д модели(3 дня);Черновик 3д модели;
Детали напечатаны;Сборка конструкции (неделя);Конструкция собрана;
Закуплен крепеж и материалы;Сборка конструкции(неделя);Конструкция собрана;
Закуплены платы и датчики;Написание и отладка кода(недля);Код вращения приводами;
Закуплены платы и датчики;Написание и отладка кода(2 недели);Код опроса датчиков;
Закуплены приводы;Написание и отладка кода(3 дня);Код вращения приводами;
Закуплена проводка;Укладка проводов, пайка разъемов(3 дня);Робот собран;
Код вращения приводами;Монтаж приводов(3 дня);Робот собран;
Код опроса датчиков;Получение картинки с камер и звука с микрофонов(3 дня);Модель личности протестирована на камере и микрофоне;
Код опроса датчиков;Монтаж датчиков(неделя);Робот собран;
Команды на движения телом протестированы;Межсистемное тестирование(неделя);Готовый робот;
Конструкция приводов;Внесение изменений во внешний вид(3 дня);Доработан внешний вид;
Конструкция приводов;Составление 3д модели приводов(неделя);Черновик 3д модели;
Модель личности;Подача на вход модели изображения с камер и звука с микрофона(з дня);Модель личности протестирована на камере и микрофоне;
Модель личности протестирована на камере и микрофоне;Монтаж камер и микрофонов(3 дня);Робот собран;
Конструкция;Разработка зд модели конструкции(неделя);3д модель;
Конструкция;Поиск и покупка крепежа и материалов(3 дня);Закуплен крепеж и материалы;
Конструкция;Заказ и покупка плат(2 недели);Закуплены платы и датчики;
Конструкция;Заказ и покупка приводов(2 недели);Закуплены приводы;
Конструкция;Покупка проводки(3 дня);Закуплена проводка;
Перечень датчиков;Внесение корректировок во внешний вид(3 дня);Доработан внешний вид;
Перечень датчиков;Разработка структурной схемы(3 дня);Схема плат и проводки;
Перечень датчиков;Разработка зд модели датчиков(неделя);Черновик 3д модели;
Перечень приводов;Внесение корректировок во внешний вид(3 дня);Доработан внешний вид;
Перечень приводов;Разработка конструкции приводов(неделя);Конструкция приводов;
Перечень приводов;Включение в структурную схему приводов(3 дня);Схема плат и проводки;
Конструкция собрана;Монтаж остальных компонентов(неделя);Робот собран;
Робот собран;Проверка движения конечностей(неделя);Команды на движения телом протестированы;
Схема плат и проводки;Внесение корректировок во внешний вид(3 дня);Доработан внешний вид;
Схема плат и проводки;Создание 3д модели плат и проводки(3 дня);Черновик 3д модели;
Черновик 3д модели;Обсуждение конструкции (неделя);Конструкция;
